SYNOPCode,Removed_Feature,RMSE,R2
0,SYNOPCode,0.7889394991651256,0.9497978022861508
0,RainIntensity,0.7902783367844931,0.9496272705251241
0,RainIntensityMax,0.791018131401157,0.9495329166378489
0,RainIntensityMin,0.7904356517430079,0.9496072138635571
0,Frequency,0.7901546891197507,0.9496430320178042
0,WindDirection,0.7890880709759028,0.9497788925123952
0,ParticulateMax,0.7771357364310643,0.9512887706311773
0,Particulate,0.7769442098734124,0.9513127776199364
0,WindSpeedMin,0.7767559751980188,0.9513363662205114
0,AbsoluteHumidityMin,0.7768328734127443,0.9513267304226188
0,WindSpeed,0.7691230798786874,0.9522880663951552
0,ParticulateMin,0.7790500284527164,0.9510484976387309
0,AbsoluteHumidityMax,0.8267365816875702,0.9448723297248229
0,WindSpeedMax,0.8179491284053604,0.94603801491228
0,RelativeHumidity,0.8226823453681512,0.9454116855372823
0,TemperatureDifference,0.8364234468766386,0.9435729005172452
0,Time,0.8984980150846742,0.9348867198843771
0,Visibility,1.1437609038837449,0.8944870356842987
0,TemperatureMax,1.1567819731784978,0.8920709501131704
0,AbsoluteHumidity,1.1533800555508618,0.8927048221078963
0,VisibilityMin,1.4138961740809806,0.8387608989170812
0,TemperatureMin,1.4227928516008186,0.8367253811051577
0,VisibilityMax,1.4268740858892102,0.8357873419648021
0,Temperature,1.7022817042658491,0.7662787541722225
0,Distance,2.9516939873681225,0.2972869951858461
3,SYNOPCode,1.8984809208621771,0.9459787201838883
3,RainIntensityMin,1.9918292029991995,0.9405356623554849
3,RainIntensityMax,1.9666699489611355,0.9420283904661634
3,RainIntensity,1.9334247054037406,0.9439717674783051
3,ParticulateMin,2.0083999186709836,0.93954213797795
3,Particulate,1.9255411000964775,0.9444277500024703
3,ParticulateMax,2.060789668014352,0.9363468747612909
3,Frequency,1.985209705380564,0.9409302443511199
3,WindDirection,1.965540546542655,0.942094954229268
3,WindSpeedMin,1.9565627683029605,0.942622718879932
3,WindSpeed,1.9840561872920515,0.9409988700841425
3,AbsoluteHumidity,1.9217823432214276,0.9446444981174554
3,AbsoluteHumidityMax,1.8851594907672986,0.9467341830124284
3,WindSpeedMax,2.0081263730264056,0.9395586056728944
3,TemperatureMax,1.9328304751498704,0.9440062022865547
3,AbsoluteHumidityMin,1.8089269556136716,0.950955031975691
3,TemperatureDifference,1.8839365733978815,0.9468032684821734
3,TemperatureMin,1.6852197746678268,0.9574337405297614
3,RelativeHumidity,1.7906393351588084,0.951941674366044
3,Visibility,1.8033067436172687,0.9512593172478715
3,Time,1.8681136150125863,0.9476931019164532
3,VisibilityMin,1.9335568503584246,0.9439641084251807
3,Temperature,1.8960813124185956,0.9461151956091467
3,Distance,3.3358320649991002,0.833213554688444
3,VisibilityMax,5.548571427913072,0.5385605115790321
4,SYNOPCode,0.6124703574534781,0.9759167867110626
4,Frequency,0.608693160172744,0.9762129203700236
4,RainIntensity,0.6081363520557239,0.9762564194002751
4,RainIntensityMax,0.6177651134767408,0.9754985920530101
4,RainIntensityMin,0.6093412755722899,0.9761622380845948
4,WindDirection,0.6082973966918852,0.9762438423438773
4,WindSpeedMin,0.5945504174754837,0.9773054456014645
4,AbsoluteHumidityMin,0.6116436761171188,0.975981755428419
4,AbsoluteHumidityMax,0.5930115334652051,0.977422774892048
4,WindSpeed,0.593553162928484,0.9773815140595093
4,AbsoluteHumidity,0.6079635511407124,0.976269910879683
4,VisibilityMax,0.6033965153047322,0.9766250937030625
4,TemperatureDifference,0.6014164621925029,0.9767782520815391
4,VisibilityMin,0.6347338333986166,0.9741341008692755
4,RelativeHumidity,0.64269935633284,0.9734808247674256
4,TemperatureMax,0.6256018973491781,0.9748730140156149
4,Time,0.6121588217382578,0.9759412805427211
4,WindSpeedMax,0.6790893227495114,0.9703927488693894
4,TemperatureMin,0.7252181453813603,0.9662338452243133
4,Visibility,0.7499853607240632,0.9638881401938025
4,Distance,1.2150915494885823,0.9052100521897972
4,ParticulateMax,1.283057852503866,0.8943093032247468
4,Temperature,1.2692509730178507,0.8965717222250211
4,ParticulateMin,2.2206484033730582,0.6834051201907637
4,Particulate,2.300542921793033,0.6602144044778817
5,SYNOPCode,0.8400298601075998,0.9448872558117742
5,Frequency,0.8350536362046443,0.9455382827525515
5,WindDirection,0.8350611261865096,0.9455373057635624
5,RainIntensityMax,0.8227963911160665,0.9471253696234165
5,AbsoluteHumidityMin,0.8249238709332892,0.9468515834454274
5,AbsoluteHumidityMax,0.8141209632413018,0.9482344939853751
5,WindSpeedMin,0.8074785534522093,0.9490757571226923
5,RainIntensityMin,0.8036169218565706,0.9495616658565534
5,WindSpeedMax,0.8020295522276762,0.9497607288748426
