Removed_Feature,RMSE,R2
Frequency,0.78503694398469,0.9595610240698226
RainIntensity,0.7843939693679738,0.9596272390097851
RainIntensityMin,0.7835374369033358,0.9597153623289221
SYNOPCode,0.7833934984062093,0.9597301618198654
WindDirection,0.7855229624027139,0.9595109368192619
RainIntensityMax,0.7762578320083882,0.9604604293930481
WindSpeedMin,0.7766050055973086,0.9604250541254011
AbsoluteHumidityMin,0.7768745618857166,0.9603975767674151
AbsoluteHumidityMax,0.7685994082082964,0.9612367617843167
WindSpeed,0.7609062783397672,0.9620088627906552
WindSpeedMax,0.7717612672704287,0.9609171778866902
TemperatureMax,0.7870225937531293,0.9593561949975674
TemperatureDifference,0.7831866063906736,0.9597514293127395
VisibilityMax,0.8507334053505835,0.9525094792931273
ParticulateMax,0.8477765829868064,0.9528390232090911
Time,0.8477805652512903,0.952838580149144
RelativeHumidity,1.032046591734327,0.9301094325535215
TemperatureMin,1.037798564975194,0.9293282101791079
Particulate,1.0282395809652054,0.9306241058216752
AbsoluteHumidity,1.0293993234815777,0.9304675206257365
RFL_Att,1.1980689851718163,0.9058145949544648
VisibilityMin,1.3177100621636242,0.8860643371808983
ParticulateMin,1.3112199662869304,0.8871839042052782
Temperature,1.8072229306180996,0.7856895168062447
Visibility,2.6178048918316392,0.5503293847829447
Distance,3.7198053468486476,0.09205323134477339
