Removed_Feature,RMSE,R2
WindDirection,0.47607104451295473,0.9808346792753643
WindSpeedMin,0.4720851020624491,0.9811542621101733
Particulate,0.4719348774464645,0.9811662541992127
WindSpeed,0.4714194658040723,0.9812073693259853
WindSpeedMax,0.47025333421551013,0.9813002275005505
AbsoluteHumidityMin,0.4746717732601576,0.9809471753894883
VisibilityMax,0.46422085946360614,0.9817769167760649
AbsoluteHumidityMax,0.46047179550700684,0.9820700687434855
ParticulateMin,0.4562511569285015,0.9823972503084444
TemperatureDifference,0.4564992887534278,0.9823780986195061
VisibilityMin,0.4747699044056507,0.9809392968137116
Time,0.47068871439454324,0.9812655854105058
Frequency,0.5220418051086104,0.9769546599207964
ParticulateMax,0.6960330977130158,0.9590331719269777
RelativeHumidity,0.7000418204081462,0.9585599255526281
TemperatureMin,0.710802024497113,0.9572762005127806
Visibility,0.7061272236010158,0.9578363240717906
TemperatureMax,0.7593759325641076,0.951237471941029
SYNOPCode,0.7547522458603554,0.9518294745176391
RainIntensityMin,0.7618832003920099,0.950914937213269
FSO_Att,0.760271124545405,0.951122436550105
Temperature,0.848319357465608,0.9391456945283081
RainIntensityMax,1.0555559923502502,0.9057817340178536
Distance,1.0533681015266037,0.9061719087593441
RainIntensity,2.1954286715800087,0.592421544459248
AbsoluteHumidity,3.5153584883752913,-0.04498918542114061
