SYNOPCode,Removed_Feature,RMSE,R2
0,SYNOPCode,0.36915223307206574,0.9791458616947045
0,RainIntensityMax,0.3733222222971787,0.9786720588117676
0,RainIntensity,0.3711733230204869,0.9789168858692198
0,Particulate,0.37150333448360806,0.9788793790660447
0,ParticulateMax,0.3721758365200097,0.9788028439982279
0,RainIntensityMin,0.37165629426423225,0.9788619834180573
0,ParticulateMin,0.370015783341878,0.9790481802575302
0,WindSpeedMin,0.3667798637739991,0.9794130400605746
0,WindDirection,0.3741243357126531,0.9785803106913261
0,WindSpeed,0.3718183177851167,0.9788435491686889
0,TemperatureMax,0.37333601107741865,0.9786704832734924
0,TemperatureDifference,0.3733225159248056,0.9786720252617946
0,TemperatureMin,0.3779875829754433,0.9781356628111212
0,WindSpeedMax,0.37401972362768277,0.9785922876993173
0,VisibilityMax,0.35818855787192877,0.9803661862640567
0,RelativeHumidity,0.36019655469856476,0.9801454358151179
0,Time,0.36171710633430226,0.979977451906307
0,VisibilityMin,0.4447831799120734,0.9697254315941422
0,Frequency,0.44854038700707977,0.9692117959257791
0,Visibility,0.6248362056430431,0.940253341304687
0,Temperature,0.681623951891322,0.9288997814844304
0,AbsoluteHumidityMax,0.8501988999714252,0.8893828850889711
0,AbsoluteHumidityMin,0.8555552394820471,0.8879846964129281
0,AbsoluteHumidity,0.8722045359368045,0.883582590423385
0,Distance,1.4352654023512188,0.6847568329441744
3,SYNOPCode,0.503539538531155,0.9718452942798321
3,Particulate,0.5193822657181498,0.9700457761895522
3,ParticulateMax,0.49979878840056224,0.9722620580319922
3,ParticulateMin,0.5192058031358331,0.9700661269103835
3,RainIntensity,0.5040408161827917,0.9717892099065131
3,RainIntensityMax,0.517926000852644,0.9702135144164031
3,RainIntensityMin,0.5341835803131898,0.9683141832348797
3,WindSpeed,0.5001961376827682,0.9722179361461649
3,WindSpeedMin,0.5310448404328783,0.9686854464384651
3,WindSpeedMax,0.5030028948137456,0.9719052736602186
3,WindDirection,0.5086109976957677,0.9712753113102411
3,VisibilityMin,0.5034366803347615,0.9718567954480671
3,VisibilityMax,0.4802330542069296,0.9743912762489305
3,Distance,0.49895321458578823,0.9723558343174555
3,Frequency,0.49545069893263693,0.9727425811334551
3,Visibility,0.546002416277532,0.9668965722001435
3,RelativeHumidity,0.5778405002555403,0.9629234092795619
3,TemperatureDifference,0.5803640795706059,0.9625988559460732
3,Temperature,0.5830611718381356,0.962250423871432
3,AbsoluteHumidity,0.6147169304613679,0.9580401249379542
3,AbsoluteHumidityMin,0.6359109498312894,0.9550968876946969
3,TemperatureMax,0.6556197170950104,0.9522703939993173
3,AbsoluteHumidityMax,0.6733717382843343,0.9496506802856317
3,TemperatureMin,0.6597935157226736,0.9516607482702799
3,Time,0.9123340311048385,0.9075745471913486
4,SYNOPCode,0.4583852795930435,0.9243351494524995
4,WindSpeed,0.45822941607421863,0.9243865969371603
4,WindSpeedMin,0.4542930676405548,0.9256801074464032
4,Distance,0.45871531923181297,0.9242261521038527
4,WindDirection,0.4589129963041301,0.9241608306322293
4,ParticulateMax,0.46152412501218454,0.9232953541745278
4,TemperatureDifference,0.45800008921315216,0.9244622614174867
4,WindSpeedMax,0.45886349292781137,0.9241771914347408
4,ParticulateMin,0.4537414729500496,0.9258604737063046
4,Time,0.45129464189124874,0.9266579223947458
4,Frequency,0.4459886484449009,0.9283723894457445
4,VisibilityMax,0.48060821483107663,0.9168207053575655
4,AbsoluteHumidityMax,0.48354018421848355,0.9158027325673118
4,Particulate,0.47477924650013553,0.9188261195621366
4,VisibilityMin,0.47698480352179384,0.9180701915471993
4,Temperature,0.48082404453946387,0.9167459809005682
4,TemperatureMax,0.47387203823428503,0.9191360373129276
4,Visibility,0.46847111202252467,0.920968816632445
4,RainIntensityMax,0.5054105940641826,0.9080140419697684
4,AbsoluteHumidity,0.5038722663644621,0.908573148560968
4,TemperatureMin,0.5128096864307148,0.9053010216562714
4,RainIntensity,0.5506351878583977,0.8908155536922159
4,RainIntensityMin,0.5498939955130417,0.891109295215528
4,AbsoluteHumidityMin,0.9235270367350165,0.6928630394971946
4,RelativeHumidity,1.238357402185639,0.44776381181546554
5,SYNOPCode,0.5533485299022964,0.9631085210270464
5,WindDirection,0.5495915611550265,0.9636077710011918
5,WindSpeedMin,0.5488797311758379,0.9637019802479666
5,WindSpeedMax,0.5511602947122286,0.963399721270234
5,TemperatureMin,0.5451430873042172,0.9641945147228309
5,Particulate,0.542906449285238,0.9644877207656277
5,WindSpeed,0.5397793503792625,0.964895638515837
5,VisibilityMax,0.537747493845252,0.9651594232654594
5,TemperatureMax,0.5372009011714675,0.965230214578443
5,ParticulateMax,0.5334967263328669,0.9657080593771604
5,Time,0.5331321743594163,0.965754908487258
