SYNOPCode,Removed_Feature,RMSE,R2
0,SYNOPCode,0.37220524475477346,0.9787994939926267
0,ParticulateMax,0.3735019669195903,0.9786515162059958
0,RainIntensityMax,0.3715601716438247,0.9788729159857263
0,RainIntensity,0.3755529818238748,0.9784164101892476
0,ParticulateMin,0.3732183169468409,0.9786839294086475
0,RainIntensityMin,0.37170123166851043,0.9788568714636119
0,Particulate,0.3766760025071508,0.9782871338433332
0,WindDirection,0.37242190351961835,0.978774805397442
0,WindSpeed,0.3707137472180418,0.9789690625209289
0,WindSpeedMin,0.370545722822457,0.9789881225626216
0,VisibilityMax,0.3767228705170787,0.9782817302491047
0,TemperatureDifference,0.3712896775645099,0.9789036656269359
0,WindSpeedMax,0.37937210565950336,0.9779751966323064
0,VisibilityMin,0.3584357340669537,0.9803390793912543
0,RelativeHumidity,0.3545937397084589,0.9807583027322013
0,TemperatureMin,0.36363843167997756,0.9797641802740633
0,Time,0.35888579397190334,0.9802896750129311
0,Visibility,0.43221830661764504,0.9714117504363272
0,TemperatureMax,0.5184332044810818,0.9588692273067745
0,Frequency,0.5132638151404766,0.9596853823500103
0,AbsoluteHumidityMax,0.6543059716308521,0.9344846572180923
0,AbsoluteHumidityMin,0.6519406858314885,0.9349574709336294
0,Temperature,0.6514862268555635,0.9350481198504675
0,FSO_Att,0.8124256881093719,0.8989936811800033
0,AbsoluteHumidity,0.8722045359368045,0.883582590423385
0,Distance,1.4352654023512188,0.6847568329441744
3,Particulate,0.5234222604701791,0.9695779682958774
3,SYNOPCode,0.5241938369189225,0.969488211991375
3,ParticulateMax,0.5150193453468337,0.9705469060853981
3,ParticulateMin,0.5195064916121613,0.9700314455684154
3,RainIntensity,0.49751684466782653,0.9725147674313511
3,RainIntensityMax,0.5135218242383263,0.9707179385168964
3,RainIntensityMin,0.49731628649000525,0.9725369225690016
3,WindSpeedMin,0.5113742700399855,0.9709623422349191
3,WindSpeedMax,0.5136474618583449,0.970703608537599
3,WindSpeed,0.531908733788137,0.9685834797611941
3,WindDirection,0.500851295558775,0.9721451104810154
3,VisibilityMax,0.4909359977157422,0.9732370740302864
3,VisibilityMin,0.5012447236036076,0.9721013322217679
3,FSO_Att,0.49881689511607585,0.9723709376301796
3,Distance,0.49895321458578823,0.9723558343174555
3,Frequency,0.49545069893263693,0.9727425811334551
3,Visibility,0.546002416277532,0.9668965722001435
3,RelativeHumidity,0.5778405002555403,0.9629234092795619
3,TemperatureDifference,0.5803640795706059,0.9625988559460732
3,Temperature,0.5830611718381356,0.962250423871432
3,AbsoluteHumidity,0.6147169304613679,0.9580401249379542
3,AbsoluteHumidityMin,0.6359109498312894,0.9550968876946969
3,TemperatureMax,0.6556197170950104,0.9522703939993173
3,AbsoluteHumidityMax,0.6733717382843343,0.9496506802856317
3,TemperatureMin,0.6597935157226736,0.9516607482702799
3,Time,0.9123340311048385,0.9075745471913486
4,SYNOPCode,0.4167970394661239,0.9374421081791783
4,WindSpeedMin,0.41976595284756485,0.9365477138656046
4,WindSpeed,0.4212180504302894,0.9361079531899708
4,Distance,0.4195974080548636,0.9365986584707942
4,WindDirection,0.4138468574041665,0.9383245712705108
4,Particulate,0.4097843030328193,0.9395295095707284
4,WindSpeedMax,0.4170433851869536,0.9373681372928646
4,Time,0.41064905523057454,0.9392740231403947
4,TemperatureDifference,0.40776080751851496,0.9401252359415047
4,ParticulateMax,0.4094126025240875,0.9396391610038989
4,VisibilityMin,0.4133587810844621,0.9384699611166805
4,Frequency,0.40843271905275974,0.9399277491308747
4,Visibility,0.4474610978666541,0.9278986458310421
4,AbsoluteHumidityMax,0.4474837372769822,0.9278913496730334
4,ParticulateMin,0.44832305023750063,0.9276205980105492
4,Temperature,0.45032565538297353,0.9269725336560982
